Id;Label
1;Albania
2;Andorra
3;Austria
4;Belarus
5;Belgium
6;Bosnia and Herzegovina
7;Bulgaria
8;Croatia
9;Cyprus
10;Czech Republic
11;Denmark
12;Estonia
13;Finland
14;France
15;Germany
16;Greece
17;Hungary
18;Iceland
19;Ireland
20;Italy
21;Kosovo
22;Latvia
23;Liechtenstein
24;Lithuania
25;Luxembourg
26;North Macedonia
27;Malta
28;Moldova
29;Monaco
30;Montenegro
31;Netherlands
32;Norway
33;Poland
34;Portugal
35;Romania
36;Russia
37;San Marino
38;Serbia
39;Slovakia
40;Slovenia
41;Spain
42;Sweden
43;Switzerland
44;Turkey
45;Ukraine
46;United
47;Vatican City
